state,county,population
 Alabama,Autauga County,55869
 Alabama,Baldwin County,223234
 Alabama,Barbour County,24686
 Alabama,Bibb County,22394
 Alabama,Blount County,57826
 Alabama,Bullock County,10101
 Alabama,Butler County,19448
 Alabama,Calhoun County,113605
 Alabama,Chambers County,33254
 Alabama,Cherokee County,26196
 Alabama,Chilton County,44428
 Alabama,Choctaw County,12589
 Alabama,Clarke County,23622
 Alabama,Clay County,13235
 Alabama,Cleburne County,14910
 Alabama,Coffee County,52342
 Alabama,Colbert County,55241
 Alabama,Conecuh County,12067
 Alabama,Coosa County,10663
 Alabama,Covington County,37049
 Alabama,Crenshaw County,13772
 Alabama,Cullman County,83768
 Alabama,Dale County,49172
 Alabama,Dallas County,37196
 Alabama,DeKalb County,71513
 Alabama,Elmore County,81209
 Alabama,Escambia County,36633
 Alabama,Etowah County,102268
 Alabama,Fayette County,16302
 Alabama,Franklin County,31362
 Alabama,Geneva County,26271
 Alabama,Greene County,8111
 Alabama,Hale County,14651
 Alabama,Henry County,17205
 Alabama,Houston County,105882
 Alabama,Jackson County,51626
 Alabama,Jefferson County,658573
 Alabama,Lamar County,13805
 Alabama,Lauderdale County,92729
 Alabama,Lawrence County,32924
 Alabama,Lee County,164542
 Alabama,Limestone County,98915
 Alabama,Lowndes County,9726
 Alabama,Macon County,18068
 Alabama,Madison County,372909
 Alabama,Marengo County,18863
 Alabama,Marion County,29709
 Alabama,Marshall County,96774
 Alabama,Mobile County,413210
 Alabama,Monroe County,20733
 Alabama,Montgomery County,226486
 Alabama,Morgan County,119679
 Alabama,Perry County,8923
 Alabama,Pickens County,19930
 Alabama,Pike County,33114
 Alabama,Randolph County,22722
 Alabama,Russell County,57961
 Alabama,St. Clair County,89512
 Alabama,Shelby County,217702
 Alabama,Sumter County,12427
 Alabama,Talladega County,79978
 Alabama,Tallapoosa County,40367
 Alabama,Tuscaloosa County,209355
 Alabama,Walker County,63521
 Alabama,Washington County,16326
 Alabama,Wilcox County,10373
 Alabama,Winston County,23629
 Alaska,Aleutians East Borough,3337
 Alaska,Aleutians West Census Area,5634
 Alaska,Anchorage Municipality,288000
 Alaska,Bethel Census Area,18386
 Alaska,Bristol Bay Borough,836
 Alaska,Denali Borough,2097
 Alaska,Dillingham Census Area,4916
 Alaska,Fairbanks North Star Borough,96849
 Alaska,Haines Borough,2530
 Alaska,Hoonah-Angoon Census Area,2148
 Alaska,Juneau City and Borough,31974
 Alaska,Kenai Peninsula Borough,58708
 Alaska,Ketchikan Gateway Borough,13901
 Alaska,Kodiak Island Borough,12998
 Alaska,Kusilvak Census Area,8314
 Alaska,Lake and Peninsula Borough,1592
 Alaska,Matanuska-Susitna Borough,108317
 Alaska,Nome Census Area,10004
 Alaska,North Slope Borough,9832
 Alaska,Northwest Arctic Borough,7621
 Alaska,Petersburg Borough,3266
 Alaska,Prince of Wales-Hyder Census Area,6203
 Alaska,Sitka City and Borough,8493
 Alaska,Skagway Municipality,1183
 Alaska,Southeast Fairbanks Census Area,6893
 Alaska,Valdez-Cordova Census Area,9202
 Alaska,Wrangell City and Borough,2502
 Alaska,Yakutat City and Borough,579
 Alaska,Yukon-Koyukuk Census Area,5230
 Arizona,Apache County,71887
 Arizona,Cochise County,125922
 Arizona,Coconino County,143476
 Arizona,Gila County,54018
 Arizona,Graham County,38837
 Arizona,Greenlee County,9498
 Arizona,La Paz County,21108
 Arizona,Maricopa County,4485414
 Arizona,Mohave County,212181
 Arizona,Navajo County,110924
 Arizona,Pima County,1047279
 Arizona,Pinal County,462789
 Arizona,Santa Cruz County,46498
 Arizona,Yavapai County,235099
 Arizona,Yuma County,213787
 Arkansas,Arkansas County,17486
 Arkansas,Ashley County,19657
 Arkansas,Baxter County,41932
 Arkansas,Benton County,279141
 Arkansas,Boone County,37432
 Arkansas,Bradley County,10763
 Arkansas,Calhoun County,5189
 Arkansas,Carroll County,28380
 Arkansas,Chicot County,10118
 Arkansas,Clark County,22320
 Arkansas,Clay County,14551
 Arkansas,Cleburne County,24919
 Arkansas,Cleveland County,7956
 Arkansas,Columbia County,23457
 Arkansas,Conway County,20846
 Arkansas,Craighead County,110332
 Arkansas,Crawford County,63257
 Arkansas,Crittenden County,47955
 Arkansas,Cross County,16419
 Arkansas,Dallas County,7009
 Arkansas,Desha County,11361
 Arkansas,Drew County,18219
 Arkansas,Faulkner County,126007
 Arkansas,Franklin County,17715
 Arkansas,Fulton County,12477
 Arkansas,Garland County,99386
 Arkansas,Grant County,18265
 Arkansas,Greene County,45325
 Arkansas,Hempstead County,21532
 Arkansas,Hot Spring County,33771
 Arkansas,Howard County,13202
 Arkansas,Independence County,37825
 Arkansas,Izard County,13629
 Arkansas,Jackson County,16719
 Arkansas,Jefferson County,66824
 Arkansas,Johnson County,26578
 Arkansas,Lafayette County,6624
 Arkansas,Lawrence County,16406
 Arkansas,Lee County,8857
 Arkansas,Lincoln County,13024
 Arkansas,Little River County,12259
 Arkansas,Logan County,21466
 Arkansas,Lonoke County,73309
 Arkansas,Madison County,16576
 Arkansas,Marion County,16694
 Arkansas,Miller County,43257
 Arkansas,Mississippi County,40651
 Arkansas,Monroe County,6701
 Arkansas,Montgomery County,8986
 Arkansas,Nevada County,8252
 Arkansas,Newton County,7753
 Arkansas,Ouachita County,23382
 Arkansas,Perry County,10455
 Arkansas,Phillips County,17782
 Arkansas,Pike County,10718
 Arkansas,Poinsett County,23528
 Arkansas,Polk County,19964
 Arkansas,Pope County,64072
 Arkansas,Prairie County,8062
 Arkansas,Pulaski County,391911
 Arkansas,Randolph County,17958
 Arkansas,St. Francis County,24994
 Arkansas,Saline County,122437
 Arkansas,Scott County,10281
 Arkansas,Searcy County,7881
 Arkansas,Sebastian County,127827
 Arkansas,Sevier County,17007
 Arkansas,Sharp County,17442
 Arkansas,Stone County,12506
 Arkansas,Union County,38682
 Arkansas,Van Buren County,16545
 Arkansas,Washington County,239187
 Arkansas,White County,78753
 Arkansas,Woodruff County,6320
 Arkansas,Yell County,21341
 California,Alameda County,1671329
 California,Alpine County,1129
 California,Amador County,39752
 California,Butte County,219186
 California,Calaveras County,45905
 California,Colusa County,21547
 California,Contra Costa County,1153526
 California,Del Norte County,27812
 California,El Dorado County,192843
 California,Fresno County,999101
 California,Glenn County,28393
 California,Humboldt County,135558
 California,Imperial County,181215
 California,Inyo County,18039
 California,Kern County,900202
 California,Kings County,152940
 California,Lake County,64386
 California,Lassen County,30573
 California,Los Angeles County,10039107
 California,Madera County,157327
 California,Marin County,258826
 California,Mariposa County,17203
 California,Mendocino County,86749
 California,Merced County,277680
 California,Modoc County,8841
 California,Mono County,14444
 California,Monterey County,434061
 California,Napa County,137744
 California,Nevada County,99755
 California,Orange County,3175692
 California,Placer County,398329
 California,Plumas County,18807
 California,Riverside County,2470546
 California,Sacramento County,1552058
 California,San Benito County,62808
 California,San Bernardino County,2180085
 California,San Diego County,3338330
 California,San Francisco County,881549
 California,San Joaquin County,762148
 California,San Luis Obispo County,283111
 California,San Mateo County,766573
 California,Santa Barbara County,446499
 California,Santa Clara County,1927852
 California,Santa Cruz County,273213
 California,Shasta County,180080
 California,Sierra County,3005
 California,Siskiyou County,43539
 California,Solano County,447643
 California,Sonoma County,494336
 California,Stanislaus County,550660
 California,Sutter County,96971
 California,Tehama County,65084
 California,Trinity County,12285
 California,Tulare County,466195
 California,Tuolumne County,54478
 California,Ventura County,846006
 California,Yolo County,220500
 California,Yuba County,78668
 Colorado,Adams County,517421
 Colorado,Alamosa County,16233
 Colorado,Arapahoe County,656590
 Colorado,Archuleta County,14029
 Colorado,Baca County,3581
 Colorado,Bent County,5577
 Colorado,Boulder County,326196
 Colorado,Broomfield County,70465
 Colorado,Chaffee County,20356
 Colorado,Cheyenne County,1831
 Colorado,Clear Creek County,9700
 Colorado,Conejos County,8205
 Colorado,Costilla County,3887
 Colorado,Crowley County,6061
 Colorado,Custer County,5068
 Colorado,Delta County,31162
 Colorado,Denver County,727211
 Colorado,Dolores County,2055
 Colorado,Douglas County,351154
 Colorado,Eagle County,55127
 Colorado,Elbert County,26729
 Colorado,El Paso County,720403
 Colorado,Fremont County,47839
 Colorado,Garfield County,60061
 Colorado,Gilpin County,6243
 Colorado,Grand County,15734
 Colorado,Gunnison County,17462
 Colorado,Hinsdale County,820
 Colorado,Huerfano County,6897
 Colorado,Jackson County,1392
 Colorado,Jefferson County,582881
 Colorado,Kiowa County,1406
 Colorado,Kit Carson County,7097
 Colorado,Lake County,8127
 Colorado,La Plata County,56221
 Colorado,Larimer County,356899
 Colorado,Las Animas County,14506
 Colorado,Lincoln County,5701
 Colorado,Logan County,22409
 Colorado,Mesa County,154210
 Colorado,Mineral County,769
 Colorado,Moffat County,13283
 Colorado,Montezuma County,26183
 Colorado,Montrose County,42758
 Colorado,Morgan County,29068
 Colorado,Otero County,18278
 Colorado,Ouray County,4952
 Colorado,Park County,18845
 Colorado,Phillips County,4265
 Colorado,Pitkin County,17767
 Colorado,Prowers County,12172
 Colorado,Pueblo County,168424
 Colorado,Rio Blanco County,6324
 Colorado,Rio Grande County,11267
 Colorado,Routt County,25638
 Colorado,Saguache County,6824
 Colorado,San Juan County,728
 Colorado,San Miguel County,8179
 Colorado,Sedgwick County,2248
 Colorado,Summit County,31011
 Colorado,Teller County,25388
 Colorado,Washington County,4908
 Colorado,Weld County,324492
 Colorado,Yuma County,10019
 Connecticut,Fairfield County,943332
 Connecticut,Hartford County,891720
 Connecticut,Litchfield County,180333
 Connecticut,Middlesex County,162436
 Connecticut,New Haven County,854757
 Connecticut,New London County,265206
 Connecticut,Tolland County,150721
 Connecticut,Windham County,116782
 Delaware,Kent County,180786
 Delaware,New Castle County,558753
 Delaware,Sussex County,234225
 District of Columbia,District of Columbia,705749
 Florida,Alachua County,269043
 Florida,Baker County,29210
 Florida,Bay County,174705
 Florida,Bradford County,28201
 Florida,Brevard County,601942
 Florida,Broward County,1952778
 Florida,Calhoun County,14105
 Florida,Charlotte County,188910
 Florida,Citrus County,149657
 Florida,Clay County,219252
 Florida,Collier County,384902
 Florida,Columbia County,71686
 Florida,DeSoto County,38001
 Florida,Dixie County,16826
 Florida,Duval County,957755
 Florida,Escambia County,318316
 Florida,Flagler County,115081
 Florida,Franklin County,12125
 Florida,Gadsden County,45660
 Florida,Gilchrist County,18582
 Florida,Glades County,13811
 Florida,Gulf County,13639
 Florida,Hamilton County,14428
 Florida,Hardee County,26937
 Florida,Hendry County,42022
 Florida,Hernando County,193920
 Florida,Highlands County,106221
 Florida,Hillsborough County,1471968
 Florida,Holmes County,19617
 Florida,Indian River County,159923
 Florida,Jackson County,46414
 Florida,Jefferson County,14246
 Florida,Lafayette County,8422
 Florida,Lake County,367118
 Florida,Lee County,770577
 Florida,Leon County,293582
 Florida,Levy County,41503
 Florida,Liberty County,8354
 Florida,Madison County,18493
 Florida,Manatee County,403253
 Florida,Marion County,365579
 Florida,Martin County,161000
 Florida,Miami-Dade County,2716940
 Florida,Monroe County,74228
 Florida,Nassau County,88625
 Florida,Okaloosa County,210738
 Florida,Okeechobee County,42168
 Florida,Orange County,1393452
 Florida,Osceola County,375751
 Florida,Palm Beach County,1496770
 Florida,Pasco County,553947
 Florida,Pinellas County,974996
 Florida,Polk County,724777
 Florida,Putnam County,74521
 Florida,St. Johns County,264672
 Florida,St. Lucie County,328297
 Florida,Santa Rosa County,184313
 Florida,Sarasota County,433742
 Florida,Seminole County,471826
 Florida,Sumter County,132420
 Florida,Suwannee County,44417
 Florida,Taylor County,21569
 Florida,Union County,15237
 Florida,Volusia County,553284
 Florida,Wakulla County,33739
 Florida,Walton County,74071
 Florida,Washington County,25473
 Georgia,Appling County,18386
 Georgia,Atkinson County,8165
 Georgia,Bacon County,11164
 Georgia,Baker County,3038
 Georgia,Baldwin County,44890
 Georgia,Banks County,19234
 Georgia,Barrow County,83240
 Georgia,Bartow County,107738
 Georgia,Ben Hill County,16700
 Georgia,Berrien County,19397
 Georgia,Bibb County,153159
 Georgia,Bleckley County,12873
 Georgia,Brantley County,19109
 Georgia,Brooks County,15457
 Georgia,Bryan County,39627
 Georgia,Bulloch County,79608
 Georgia,Burke County,22383
 Georgia,Butts County,24936
 Georgia,Calhoun County,6189
 Georgia,Camden County,54666
 Georgia,Candler County,10803
 Georgia,Carroll County,119992
 Georgia,Catoosa County,67580
 Georgia,Charlton County,13392
 Georgia,Chatham County,289430
 Georgia,Chattahoochee County,10907
 Georgia,Chattooga County,24789
 Georgia,Cherokee County,258773
 Georgia,Clarke County,128331
 Georgia,Clay County,2834
 Georgia,Clayton County,292256
 Georgia,Clinch County,6618
 Georgia,Cobb County,760141
 Georgia,Coffee County,43273
 Georgia,Colquitt County,45600
 Georgia,Columbia County,156714
 Georgia,Cook County,17270
 Georgia,Coweta County,148509
 Georgia,Crawford County,12404
 Georgia,Crisp County,22372
 Georgia,Dade County,16116
 Georgia,Dawson County,26108
 Georgia,Decatur County,26404
 Georgia,DeKalb County,759297
 Georgia,Dodge County,20605
 Georgia,Dooly County,13390
 Georgia,Dougherty County,87956
 Georgia,Douglas County,146343
 Georgia,Early County,10190
 Georgia,Echols County,4006
 Georgia,Effingham County,64296
 Georgia,Elbert County,19194
 Georgia,Emanuel County,22646
 Georgia,Evans County,10654
 Georgia,Fannin County,26188
 Georgia,Fayette County,114421
 Georgia,Floyd County,98498
 Georgia,Forsyth County,244252
 Georgia,Franklin County,23349
 Georgia,Fulton County,1063937
 Georgia,Gilmer County,31369
 Georgia,Glascock County,2971
 Georgia,Glynn County,85292
 Georgia,Gordon County,57963
 Georgia,Grady County,24633
 Georgia,Greene County,18324
 Georgia,Gwinnett County,936250
 Georgia,Habersham County,45328
 Georgia,Hall County,204441
 Georgia,Hancock County,8457
 Georgia,Haralson County,29792
 Georgia,Harris County,35236
 Georgia,Hart County,26205
 Georgia,Heard County,11923
 Georgia,Henry County,234561
 Georgia,Houston County,157863
 Georgia,Irwin County,9416
 Georgia,Jackson County,72977
 Georgia,Jasper County,14219
 Georgia,Jeff Davis County,15115
 Georgia,Jefferson County,15362
 Georgia,Jenkins County,8676
 Georgia,Johnson County,9643
 Georgia,Jones County,28735
 Georgia,Lamar County,19077
 Georgia,Lanier County,10423
 Georgia,Laurens County,47546
 Georgia,Lee County,29992
 Georgia,Liberty County,61435
 Georgia,Lincoln County,7921
 Georgia,Long County,19559
 Georgia,Lowndes County,117406
 Georgia,Lumpkin County,33610
 Georgia,McDuffie County,21312
 Georgia,McIntosh County,14378
 Georgia,Macon County,12947
 Georgia,Madison County,29880
 Georgia,Marion County,8359
 Georgia,Meriwether County,21167
 Georgia,Miller County,5718
 Georgia,Mitchell County,21863
 Georgia,Monroe County,27578
 Georgia,Montgomery County,9172
 Georgia,Morgan County,19276
 Georgia,Murray County,40096
 Georgia,Muscogee County,195769
 Georgia,Newton County,111744
 Georgia,Oconee County,40280
 Georgia,Oglethorpe County,15259
 Georgia,Paulding County,168667
 Georgia,Peach County,27546
 Georgia,Pickens County,32591
 Georgia,Pierce County,19465
 Georgia,Pike County,18962
 Georgia,Polk County,42613
 Georgia,Pulaski County,11137
 Georgia,Putnam County,22119
 Georgia,Quitman County,2299
 Georgia,Rabun County,17137
 Georgia,Randolph County,6778
 Georgia,Richmond County,202518
 Georgia,Rockdale County,90896
 Georgia,Schley County,5257
 Georgia,Screven County,13966
 Georgia,Seminole County,8090
 Georgia,Spalding County,66703
 Georgia,Stephens County,25925
 Georgia,Stewart County,6621
 Georgia,Sumter County,29524
 Georgia,Talbot County,6195
 Georgia,Taliaferro County,1537
 Georgia,Tattnall County,25286
 Georgia,Taylor County,8020
 Georgia,Telfair County,15860
 Georgia,Terrell County,8531
 Georgia,Thomas County,44451
 Georgia,Tift County,40644
 Georgia,Toombs County,26830
 Georgia,Towns County,12037
 Georgia,Treutlen County,6901
 Georgia,Troup County,69922
 Georgia,Turner County,7985
 Georgia,Twiggs County,8120
 Georgia,Union County,24511
 Georgia,Upson County,26320
 Georgia,Walker County,69761
 Georgia,Walton County,94593
 Georgia,Ware County,35734
 Georgia,Warren County,5254
 Georgia,Washington County,20374
 Georgia,Wayne County,29927
 Georgia,Webster County,2607
 Georgia,Wheeler County,7855
 Georgia,White County,30798
 Georgia,Whitfield County,104628
 Georgia,Wilcox County,8635
 Georgia,Wilkes County,9777
 Georgia,Wilkinson County,8954
 Georgia,Worth County,20247
 Hawaii,Hawaii County,201513
 Hawaii,Honolulu County,974563
 Hawaii,Kalawao County,86
 Hawaii,Kauai County,72293
 Hawaii,Maui County,167417
 Idaho,Ada County,481587
 Idaho,Adams County,4294
 Idaho,Bannock County,87808
 Idaho,Bear Lake County,6125
 Idaho,Benewah County,9298
 Idaho,Bingham County,46811
 Idaho,Blaine County,23021
 Idaho,Boise County,7831
 Idaho,Bonner County,45739
 Idaho,Bonneville County,119062
 Idaho,Boundary County,12245
 Idaho,Butte County,2597
 Idaho,Camas County,1106
 Idaho,Canyon County,229849
 Idaho,Caribou County,7155
 Idaho,Cassia County,24030
 Idaho,Clark County,845
 Idaho,Clearwater County,8756
 Idaho,Custer County,4315
 Idaho,Elmore County,27511
 Idaho,Franklin County,13876
 Idaho,Fremont County,13099
 Idaho,Gem County,18112
 Idaho,Gooding County,15179
 Idaho,Idaho County,16667
 Idaho,Jefferson County,29871
 Idaho,Jerome County,24412
 Idaho,Kootenai County,165697
 Idaho,Latah County,40108
 Idaho,Lemhi County,8027
 Idaho,Lewis County,3838
 Idaho,Lincoln County,5366
 Idaho,Madison County,39907
 Idaho,Minidoka County,21039
 Idaho,Nez Perce County,40408
 Idaho,Oneida County,4531
 Idaho,Owyhee County,11823
 Idaho,Payette County,23951
 Idaho,Power County,7681
 Idaho,Shoshone County,12882
 Idaho,Teton County,12142
 Idaho,Twin Falls County,86878
 Idaho,Valley County,11392
 Idaho,Washington County,10194
 Illinois,Adams County,65435
 Illinois,Alexander County,5761
 Illinois,Bond County,16426
 Illinois,Boone County,53544
 Illinois,Brown County,6578
 Illinois,Bureau County,32628
 Illinois,Calhoun County,4739
 Illinois,Carroll County,14305
 Illinois,Cass County,12147
 Illinois,Champaign County,209689
 Illinois,Christian County,32304
 Illinois,Clark County,15441
 Illinois,Clay County,13184
 Illinois,Clinton County,37562
 Illinois,Coles County,50621
 Illinois,Cook County,5150233
 Illinois,Crawford County,18667
 Illinois,Cumberland County,10766
 Illinois,DeKalb County,104897
 Illinois,De Witt County,15638
 Illinois,Douglas County,19465
 Illinois,DuPage County,922921
 Illinois,Edgar County,17161
 Illinois,Edwards County,6395
 Illinois,Effingham County,34008
 Illinois,Fayette County,21336
 Illinois,Ford County,12961
 Illinois,Franklin County,38469
 Illinois,Fulton County,34340
 Illinois,Gallatin County,4828
 Illinois,Greene County,12969
 Illinois,Grundy County,51054
 Illinois,Hamilton County,8116
 Illinois,Hancock County,17708
 Illinois,Hardin County,3821
 Illinois,Henderson County,6646
 Illinois,Henry County,48913
 Illinois,Iroquois County,27114
 Illinois,Jackson County,56750
 Illinois,Jasper County,9610
 Illinois,Jefferson County,37684
 Illinois,Jersey County,21773
 Illinois,Jo Daviess County,21235
 Illinois,Johnson County,12417
 Illinois,Kane County,532403
 Illinois,Kankakee County,109862
 Illinois,Kendall County,128990
 Illinois,Knox County,49699
 Illinois,Lake County,696535
 Illinois,LaSalle County,108669
 Illinois,Lawrence County,15678
 Illinois,Lee County,34096
 Illinois,Livingston County,35648
 Illinois,Logan County,28618
 Illinois,McDonough County,29682
 Illinois,McHenry County,307774
 Illinois,McLean County,171517
 Illinois,Macon County,104009
 Illinois,Macoupin County,44926
 Illinois,Madison County,262966
 Illinois,Marion County,37205
 Illinois,Marshall County,11438
 Illinois,Mason County,13359
 Illinois,Massac County,13772
 Illinois,Menard County,12196
 Illinois,Mercer County,15437
 Illinois,Monroe County,34637
 Illinois,Montgomery County,28414
 Illinois,Morgan County,33658
 Illinois,Moultrie County,14501
 Illinois,Ogle County,50643
 Illinois,Peoria County,179179
 Illinois,Perry County,20916
 Illinois,Piatt County,16344
 Illinois,Pike County,15561
 Illinois,Pope County,4177
 Illinois,Pulaski County,5335
 Illinois,Putnam County,5739
 Illinois,Randolph County,31782
 Illinois,Richland County,15513
 Illinois,Rock Island County,141879
 Illinois,St. Clair County,259686
 Illinois,Saline County,23491
 Illinois,Sangamon County,194672
 Illinois,Schuyler County,6768
 Illinois,Scott County,4951
 Illinois,Shelby County,21634
 Illinois,Stark County,5342
 Illinois,Stephenson County,44498
 Illinois,Tazewell County,131803
 Illinois,Union County,16653
 Illinois,Vermilion County,75758
 Illinois,Wabash County,11520
 Illinois,Warren County,16844
 Illinois,Washington County,13887
 Illinois,Wayne County,16215
 Illinois,White County,13537
 Illinois,Whiteside County,55175
 Illinois,Will County,690743
 Illinois,Williamson County,66597
 Illinois,Winnebago County,282572
 Illinois,Woodford County,38459
 Indiana,Adams County,35777
 Indiana,Allen County,379299
 Indiana,Bartholomew County,83779
 Indiana,Benton County,8748
 Indiana,Blackford County,11758
 Indiana,Boone County,67843
 Indiana,Brown County,15092
 Indiana,Carroll County,20257
 Indiana,Cass County,37689
 Indiana,Clark County,118302
 Indiana,Clay County,26225
 Indiana,Clinton County,32399
 Indiana,Crawford County,10577
 Indiana,Daviess County,33351
 Indiana,Dearborn County,49458
 Indiana,Decatur County,26559
 Indiana,DeKalb County,43475
 Indiana,Delaware County,114135
 Indiana,Dubois County,42736
 Indiana,Elkhart County,206341
 Indiana,Fayette County,23102
 Indiana,Floyd County,78522
 Indiana,Fountain County,16346
 Indiana,Franklin County,22758
 Indiana,Fulton County,19974
 Indiana,Gibson County,33659
 Indiana,Grant County,65769
 Indiana,Greene County,31922
 Indiana,Hamilton County,338011
 Indiana,Hancock County,78168
 Indiana,Harrison County,40515
 Indiana,Hendricks County,170311
 Indiana,Henry County,47972
 Indiana,Howard County,82544
 Indiana,Huntington County,36520
 Indiana,Jackson County,44231
 Indiana,Jasper County,33562
 Indiana,Jay County,20436
 Indiana,Jefferson County,32308
 Indiana,Jennings County,27735
 Indiana,Johnson County,158167
 Indiana,Knox County,36594
 Indiana,Kosciusko County,79456
 Indiana,LaGrange County,39614
 Indiana,Lake County,485493
 Indiana,LaPorte County,109888
 Indiana,Lawrence County,45370
 Indiana,Madison County,129569
 Indiana,Marion County,964582
 Indiana,Marshall County,46258
 Indiana,Martin County,10255
 Indiana,Miami County,35516
 Indiana,Monroe County,148431
 Indiana,Montgomery County,38338
 Indiana,Morgan County,70489
 Indiana,Newton County,13984
 Indiana,Noble County,47744
 Indiana,Ohio County,5875
 Indiana,Orange County,19646
 Indiana,Owen County,20799
 Indiana,Parke County,16937
 Indiana,Perry County,19169
 Indiana,Pike County,12389
 Indiana,Porter County,170389
 Indiana,Posey County,25427
 Indiana,Pulaski County,12353
 Indiana,Putnam County,37576
 Indiana,Randolph County,24665
 Indiana,Ripley County,28324
 Indiana,Rush County,16581
 Indiana,St. Joseph County,271826
 Indiana,Scott County,23873
 Indiana,Shelby County,44729
 Indiana,Spencer County,20277
 Indiana,Starke County,22995
 Indiana,Steuben County,34594
 Indiana,Sullivan County,20669
 Indiana,Switzerland County,10751
 Indiana,Tippecanoe County,195732
 Indiana,Tipton County,15148
 Indiana,Union County,7054
 Indiana,Vanderburgh County,181451
 Indiana,Vermillion County,15498
 Indiana,Vigo County,107038
 Indiana,Wabash County,30996
 Indiana,Warren County,8265
 Indiana,Warrick County,62998
 Indiana,Washington County,28036
 Indiana,Wayne County,65884
 Indiana,Wells County,28296
 Indiana,White County,24102
 Indiana,Whitley County,33964
 Iowa,Adair County,7152
 Iowa,Adams County,3602
 Iowa,Allamakee County,13687
 Iowa,Appanoose County,12426
 Iowa,Audubon County,5496
 Iowa,Benton County,25645
 Iowa,Black Hawk County,131228
 Iowa,Boone County,26234
 Iowa,Bremer County,25062
 Iowa,Buchanan County,21175
 Iowa,Buena Vista County,19620
 Iowa,Butler County,14439
 Iowa,Calhoun County,9668
 Iowa,Carroll County,20165
 Iowa,Cass County,12836
 Iowa,Cedar County,18627
 Iowa,Cerro Gordo County,42450
 Iowa,Cherokee County,11235
 Iowa,Chickasaw County,11933
 Iowa,Clarke County,9395
 Iowa,Clay County,16016
 Iowa,Clayton County,17549
 Iowa,Clinton County,46429
 Iowa,Crawford County,16820
 Iowa,Dallas County,93453
 Iowa,Davis County,9000
 Iowa,Decatur County,7870
 Iowa,Delaware County,17011
 Iowa,Des Moines County,38967
 Iowa,Dickinson County,17258
 Iowa,Dubuque County,97311
 Iowa,Emmet County,9208
 Iowa,Fayette County,19650
 Iowa,Floyd County,15642
 Iowa,Franklin County,10070
 Iowa,Fremont County,6960
 Iowa,Greene County,8888
 Iowa,Grundy County,12232
 Iowa,Guthrie County,10689
 Iowa,Hamilton County,14773
 Iowa,Hancock County,10630
 Iowa,Hardin County,16846
 Iowa,Harrison County,14049
 Iowa,Henry County,19954
 Iowa,Howard County,9158
 Iowa,Humboldt County,9558
 Iowa,Ida County,6860
 Iowa,Iowa County,16184
 Iowa,Jackson County,19439
 Iowa,Jasper County,37185
 Iowa,Jefferson County,18295
 Iowa,Johnson County,151140
 Iowa,Jones County,20681
 Iowa,Keokuk County,10246
 Iowa,Kossuth County,14813
 Iowa,Lee County,33657
 Iowa,Linn County,226706
 Iowa,Louisa County,11035
 Iowa,Lucas County,8600
 Iowa,Lyon County,11755
 Iowa,Madison County,16338
 Iowa,Mahaska County,22095
 Iowa,Marion County,33253
 Iowa,Marshall County,39369
 Iowa,Mills County,15109
 Iowa,Mitchell County,10586
 Iowa,Monona County,8615
 Iowa,Monroe County,7707
 Iowa,Montgomery County,9917
 Iowa,Muscatine County,42664
 Iowa,O'Brien County,13753
 Iowa,Osceola County,5958
 Iowa,Page County,15107
 Iowa,Palo Alto County,8886
 Iowa,Plymouth County,25177
 Iowa,Pocahontas County,6619
 Iowa,Polk County,490161
 Iowa,Pottawattamie County,93206
 Iowa,Poweshiek County,18504
 Iowa,Ringgold County,4894
 Iowa,Sac County,9721
 Iowa,Scott County,172943
 Iowa,Shelby County,11454
 Iowa,Sioux County,34855
 Iowa,Story County,97117
 Iowa,Tama County,16854
 Iowa,Taylor County,6121
 Iowa,Union County,12241
 Iowa,Van Buren County,7044
 Iowa,Wapello County,34969
 Iowa,Warren County,51466
 Iowa,Washington County,21965
 Iowa,Wayne County,6441
 Iowa,Webster County,35904
 Iowa,Winnebago County,10354
 Iowa,Winneshiek County,19991
 Iowa,Woodbury County,103107
 Iowa,Worth County,7381
 Iowa,Wright County,12562
 Kansas,Allen County,12369
 Kansas,Anderson County,7858
 Kansas,Atchison County,16073
 Kansas,Barber County,4427
 Kansas,Barton County,25779
 Kansas,Bourbon County,14534
 Kansas,Brown County,9564
 Kansas,Butler County,66911
 Kansas,Chase County,2648
 Kansas,Chautauqua County,3250
 Kansas,Cherokee County,19939
 Kansas,Cheyenne County,2657
 Kansas,Clark County,1994
 Kansas,Clay County,8002
 Kansas,Cloud County,8786
 Kansas,Coffey County,8179
 Kansas,Comanche County,1700
 Kansas,Cowley County,34908
 Kansas,Crawford County,38818
 Kansas,Decatur County,2827
 Kansas,Dickinson County,18466
 Kansas,Doniphan County,7600
 Kansas,Douglas County,122259
 Kansas,Edwards County,2798
 Kansas,Elk County,2530
 Kansas,Ellis County,28553
 Kansas,Ellsworth County,6102
 Kansas,Finney County,36467
 Kansas,Ford County,33619
 Kansas,Franklin County,25544
 Kansas,Geary County,31670
 Kansas,Gove County,2636
 Kansas,Graham County,2482
 Kansas,Grant County,7150
 Kansas,Gray County,5988
 Kansas,Greeley County,1232
 Kansas,Greenwood County,5982
 Kansas,Hamilton County,2539
 Kansas,Harper County,5436
 Kansas,Harvey County,34429
 Kansas,Haskell County,3968
 Kansas,Hodgeman County,1794
